"","rGAL_1 MaxLFQ Intensity","rGAL_2 MaxLFQ Intensity","rGAL_3 MaxLFQ Intensity","UL_1 MaxLFQ Intensity","UL_2 MaxLFQ Intensity","UL_3 MaxLFQ Intensity"
"RPS18",15.6802363265154,15.1861285580641,15.9506187265429,15.6980268879601,15.9924590984785,15.428199784365
"RPS29",15.5799257716488,14.9889923448923,14.9789577532306,15.8836533652897,15.1685622431949,15.2754898144054
"RPS13",18.1960764644038,18.2335202090788,18.196958030893,17.7496581287327,17.7948325052102,18.2155901596408
"RPS11",17.3034004782982,17.321161811899,17.4968446513146,16.562839100197,16.5911012458393,17.0138310082269
"SNRPD3",16.4296373751247,16.5698642098999,17.1654350379825,15.6289027179459,15.9415407883481,15.3191986236663
"RAB11A",14.9525701848183,14.7984575745679,14.6659278870031,14.8356848010138,13.4137798272838,11.2805235863539
"RPS4X",18.2159034087337,18.0605622136304,18.3286354868607,17.9470310842867,17.5891676023256,18.1434255670231
"RPL23A",18.8121190057761,18.8056814077459,19.1300864596589,18.1810662409101,17.8029001988696,18.2395494447875
"RPS6",17.4808631574448,17.2360536307077,17.5384017551063,17.543288795552,17.3146901538146,17.3206310765452
"H4C1",16.7094911020238,16.8142129833282,17.1584116669396,16.3199264469062,16.3257112614103,16.3576762901363
"RPL23",15.6714908066193,15.3615469369155,15.6457029530926,15.515077548017,15.4162873953905,15.4128881797071
"RPS24",18.6830568336644,18.2625330466291,18.8404428565728,18.4175295069775,18.0389378992559,18.4836404041017
"RPS25",16.779819431973,17.0580954423418,17.0042167349028,16.237016911179,16.171117752929,16.5983857940218
"RPS26",16.8379927489537,16.6294828446812,16.8873370108975,16.335679168377,16.1409803098713,16.1775032411509
"RPL39",16.2722193399209,16.0556293177162,16.0352785205155,16.1691521793203,15.7078097690726,16.3856351083999
"RPL31",19.7290718555985,19.7344598031799,18.9599793841237,19.2653592276235,18.9884878458901,19.370415096597
"RPL32",16.4251791796855,15.4321153314758,15.810756879832,15.7669417247103,16.6213346133109,15.6783792397685
"RPL11",15.2550385311095,16.1073621716321,16.5441433887721,15.6926967872068,15.2593004436917,14.6301546518692
"RPL8",15.855514948608,15.6453052013035,15.9368873527899,15.7697509002486,15.7243306535379,15.547097987524
"PPIA",14.5002562625871,14.2915832706795,13.6721199966707,14.0077022769169,14.6248137817455,13.6149608907722
"YWHAZ",15.0299230116427,14.7534611131654,15.2006057385583,15.1350079658799,15.2327330725847,15.2141365712904
"RPL38",15.7237510715809,13.8756854307054,15.4667665358986,14.8557819501136,15.279744725856,14.9116471148156
"TPM4",14.8748845501706,14.6113453093533,14.2720160425411,14.882768601541,14.8576672661813,14.4545531953723
"ACTC1",16.1793026575488,16.2439456397456,16.3901098953349,16.1103766616091,15.1591778031777,15.7550358967556
"EEF1A1",16.9396548041555,17.3183035999032,17.6544520580783,17.1697351812581,16.8507495479622,17.5902064737018
"TUBA1B",15.2421044364117,15.5835740841976,15.5069296680892,15.4726950589419,14.8892985149418,15.4373473302342
"GTF2I",15.9797010558001,15.9633301353839,15.9790874149164,15.8172176973302,16.4333358753113,15.4959768490474
"PIP4K2B",15.6730175033176,15.4027953100288,15.7976708212782,15.8945982451796,15.9840860078249,15.6573982869197
"DCD",16.8936001058835,16.5690555865573,16.3021065961993,16.3613974180997,16.4244620621678,16.6646717159491
"MRPS15",15.1641417091681,14.6786668699038,14.8582692527091,14.9048126604843,14.8879705229329,15.0408094018045
"RPL24",16.9829504722887,16.9557906469696,16.9559358552519,17.2675075433463,16.4591997749008,17.1760055835028
"RPL19",17.755943059837,17.3366651129617,17.8581522369854,17.495333060773,17.2544766252813,16.9921509172125
"TFAM",15.5684111226079,15.4415963646795,15.0637247347209,15.2610837675611,15.3369644075402,15.3134887004712
"SLC25A3",15.6125304699906,15.8375607487284,15.3036651082251,12.1390052301946,15.0190522667022,12.9015949883104
"HDLBP",14.4911241132457,14.5083596305253,14.8628280449116,15.1000545183997,15.1998205149792,14.6030107967002
"CLTC",15.5435475374755,15.5732793077906,15.6028109768539,16.0389438453972,15.7215651795786,15.8110309386951
"HNRNPU",19.2671637332273,19.9711224276565,20.4327066343339,17.2049772271426,17.5861368979958,16.3140240349382
"FABP5",15.293981296931,16.9010220713772,15.2001790699422,15.3756108603839,14.777436514119,15.7599538840464
"DSG1",16.1485697267449,16.2911796945492,15.7950558137022,16.0968404378902,16.1252334452666,16.2599005534451
"EIF4G1",11.3496921596363,13.9045650063781,12.951610272104,13.5848584745256,14.0351989807173,13.7706207435503
"PRDX1",16.6928283080343,16.9102840614114,16.9933365841287,16.2493131134624,16.258137835876,16.7676355966633
"TGM3",16.1089586129233,16.2053171333962,16.60275612519,16.3908275998347,16.5075676530211,16.6087851355814
"DSC1",16.2623830178313,16.5426248868493,16.5896844985049,16.4220862073062,16.8923498736421,16.3430925245006
"RBBP4",16.8035998978851,17.0822013405966,16.8022930092899,16.8258124535981,16.5710772588995,17.049422313016
"AKAP13",13.2412526823391,14.5711194376375,14.1989409210112,13.8135865144395,12.7874256991831,12.3621888396318
"SF3A3",14.6599216858559,14.5297423275581,14.2620021774337,12.5840401219295,13.713940912347,14.0191285193526
